instance_id,exit_status,total_messages,api_calls,instance_cost,total_steps,read_file_count,search_count,browse_count,edit_count,git_count,python_count,test_count,write_file_count,cd_count,other_count,unique_files,total_file_accesses,manual_paging_ops,paging_files_count,read_duplication_rate,avg_window_size,total_lines_paged,overlap_lines,overlap_ratio,front_25_explore_ratio,front_50_explore_ratio,explore_chain_len,explore_ratio,prefetch_version,prefetch_hit_rate,scroll_triggers
astropy__astropy-12907,Submitted,30,14,0.0383612,14,0,1,1,1,0,4,1,1,0,5,0,0,6,2,0.6666666666666666,200.66666666666666,1204,23,0.01910299003322259,0.6666666666666666,0.2857142857142857,2,0.14285714285714285,v0,0,0
astropy__astropy-13033,Submitted,20,9,0.020097499999999997,9,0,1,1,0,0,2,0,1,0,4,0,0,4,2,0.5,138.5,554,222,0.4007220216606498,1.0,0.5,2,0.2222222222222222,v0,0,0
astropy__astropy-13236,Submitted,24,11,0.01793635,11,0,1,1,1,0,5,0,1,0,2,0,0,3,1,0.6666666666666666,82.0,246,35,0.14227642276422764,1.0,0.4,2,0.18181818181818182,v0,0,0
astropy__astropy-13398,Submitted,36,17,0.038427249999999996,17,1,4,5,1,0,1,0,1,0,4,0,0,4,4,0.0,240.0,960,0,0.0,0.75,0.75,4,0.5882352941176471,v0,0,0
astropy__astropy-13453,Submitted,48,23,0.10338764999999998,23,0,6,1,0,0,4,0,1,0,11,0,0,14,4,0.7142857142857143,238.14285714285714,3334,397,0.11907618476304739,0.4,0.45454545454545453,2,0.30434782608695654,v0,0,0
astropy__astropy-13579,Submitted,24,11,0.029528649999999993,11,0,1,1,0,0,6,0,1,0,2,0,0,2,1,0.5,260.5,521,1,0.0019193857965451055,1.0,0.4,2,0.18181818181818182,v0,0,0
astropy__astropy-13977,Submitted,44,21,0.08128215,18,2,0,1,0,0,5,1,1,0,8,0,0,5,2,0.6,199.0,995,98,0.09849246231155778,0.25,0.2222222222222222,1,0.16666666666666666,v0,0,0
astropy__astropy-14096,Submitted,22,10,0.029743899999999997,10,1,1,1,0,0,3,0,0,0,4,0,0,3,1,0.6666666666666666,140.66666666666666,422,0,0.0,0.5,0.4,1,0.3,v0,0,0
astropy__astropy-14182,Submitted,18,8,0.0110286,8,0,1,1,0,1,2,0,1,0,2,0,0,2,1,0.5,138.0,276,186,0.6739130434782609,1.0,0.5,2,0.25,v0,0,0
astropy__astropy-14309,Submitted,20,9,0.0164472,8,0,1,1,0,0,2,0,1,0,3,0,0,4,1,0.75,75.75,303,223,0.735973597359736,1.0,0.5,2,0.25,v0,0,0
astropy__astropy-14365,Submitted,20,9,0.0208056,9,0,2,1,1,0,1,0,1,0,3,0,0,3,1,0.6666666666666666,180.66666666666666,542,201,0.37084870848708484,1.0,0.5,2,0.3333333333333333,v0,0,0
astropy__astropy-14369,Submitted,34,16,0.04813234999999999,16,0,4,1,1,0,2,0,1,0,7,0,0,6,3,0.5,136.83333333333334,821,415,0.5054811205846529,0.75,0.5,2,0.3125,v0,0,0
astropy__astropy-14508,Submitted,36,17,0.0351784,17,0,2,1,2,0,7,0,1,0,4,0,0,6,1,0.8333333333333334,61.666666666666664,370,201,0.5432432432432432,0.5,0.25,2,0.17647058823529413,v0,0,0
astropy__astropy-14539,Submitted,62,30,0.09573954999999999,30,0,2,2,2,0,9,0,1,0,14,0,0,12,5,0.5833333333333334,218.75,2625,774,0.2948571428571429,0.42857142857142855,0.2,2,0.13333333333333333,v0,0,0
astropy__astropy-14598,Submitted,100,49,0.18778550000000005,47,0,4,2,1,0,10,11,1,0,18,1,1,14,5,0.6428571428571429,189.92857142857142,2659,1156,0.4347499059796916,0.36363636363636365,0.21739130434782608,2,0.1276595744680851,v0,0,0
astropy__astropy-14995,Submitted,36,17,0.0685302,13,0,1,1,0,0,3,0,1,0,7,0,0,5,3,0.4,276.4,1382,2,0.001447178002894356,0.6666666666666666,0.3333333333333333,2,0.15384615384615385,v0,0,0
astropy__astropy-7166,Submitted,66,32,0.1285514,32,0,2,1,3,0,19,0,1,0,6,0,0,10,1,0.9,67.3,673,352,0.5230312035661219,0.25,0.125,2,0.09375,v0,0,0
astropy__astropy-7336,Submitted,30,14,0.0408714,14,1,1,1,0,0,4,1,1,0,5,1,1,6,3,0.5,159.83333333333334,959,223,0.23253388946819603,0.6666666666666666,0.42857142857142855,2,0.21428571428571427,v0,0,0
astropy__astropy-7606,Submitted,18,8,0.012049049999999999,8,0,0,1,0,0,1,0,1,0,5,0,0,3,1,0.6666666666666666,113.0,339,20,0.058997050147492625,0.5,0.25,1,0.125,v0,0,0
astropy__astropy-7671,Submitted,18,8,0.020521299999999996,8,0,2,1,0,0,3,0,1,0,1,0,0,1,1,0.0,240.0,240,0,0.0,1.0,0.75,2,0.375,v0,0,0
