instance_id,exit_status,total_messages,api_calls,instance_cost,total_steps,read_file_count,search_count,browse_count,edit_count,git_count,python_count,test_count,write_file_count,cd_count,other_count,unique_files,total_file_accesses,manual_paging_ops,paging_files_count,read_duplication_rate,avg_window_size,total_lines_paged,overlap_lines,overlap_ratio,front_25_explore_ratio,front_50_explore_ratio,explore_chain_len,explore_ratio,prefetch_version,prefetch_hit_rate,scroll_triggers
astropy__astropy-12907,Submitted,50,24,0.06263085,24,2,1,2,13,0,4,0,2,0,0,0,0,10,6,0.4,222.3,2223,322,0.1448493027440396,0.3333333333333333,0.3333333333333333,2,0.20833333333333334,v0,0,0
astropy__astropy-13033,Submitted,24,11,0.025315999999999998,11,0,1,1,3,0,5,0,1,0,0,0,0,3,2,0.3333333333333333,240.0,720,240,0.3333333333333333,1.0,0.4,2,0.18181818181818182,v0,0,0
astropy__astropy-13236,Submitted,22,10,0.018344149999999997,10,0,2,1,2,0,3,0,1,0,1,0,0,3,1,0.6666666666666666,114.0,342,53,0.15497076023391812,1.0,0.4,2,0.3,v0,0,0
astropy__astropy-13398,Submitted,42,20,0.07803619999999997,15,2,0,2,5,0,4,1,1,0,0,0,0,5,1,0.8,240.0,1200,960,0.8,0.6666666666666666,0.2857142857142857,2,0.26666666666666666,v0,0,0
astropy__astropy-13453,Submitted,46,22,0.0836965,22,0,5,1,12,1,2,0,1,0,0,0,0,14,3,0.7857142857142857,171.28571428571428,2398,787,0.32819015846538785,0.6,0.45454545454545453,2,0.2727272727272727,v0,0,0
astropy__astropy-13579,Submitted,38,18,0.07042895,15,0,2,2,4,2,2,0,1,0,2,0,0,6,3,0.5,220.5,1323,143,0.10808767951625095,1.0,0.5714285714285714,3,0.26666666666666666,v0,0,0
astropy__astropy-13977,Submitted,24,11,0.02216385,11,0,1,2,3,0,4,0,1,0,0,0,0,4,3,0.25,225.25,901,0,0.0,1.0,0.4,2,0.2727272727272727,v0,0,0
astropy__astropy-14096,Submitted,38,18,0.04566299999999999,17,0,2,1,9,0,4,0,1,0,0,0,0,7,1,0.8571428571428571,125.57142857142857,879,478,0.5437997724687145,0.75,0.375,2,0.17647058823529413,v0,0,0
astropy__astropy-14182,Submitted,20,9,0.0162903,9,0,0,2,4,0,2,0,1,0,0,0,0,4,2,0.5,275.25,1101,241,0.21889191643960038,1.0,0.5,2,0.2222222222222222,v0,0,0
astropy__astropy-14309,Submitted,46,22,0.07477315,22,0,6,1,13,0,0,0,1,0,1,0,0,13,4,0.6923076923076923,145.6153846153846,1893,1135,0.5995773903856313,0.2,0.18181818181818182,2,0.3181818181818182,v0,0,0
astropy__astropy-14365,Submitted,26,12,0.0345933,12,0,2,1,4,0,4,0,1,0,0,0,0,3,1,0.6666666666666666,180.33333333333334,541,240,0.4436229205175601,0.6666666666666666,0.3333333333333333,2,0.25,v0,0,0
astropy__astropy-14369,Submitted,36,17,0.04812195,16,0,2,2,5,0,3,2,1,0,1,0,0,3,2,0.3333333333333333,253.66666666666666,761,1,0.001314060446780552,1.0,0.5,4,0.25,v0,0,0
astropy__astropy-14508,Submitted,28,13,0.0337278,13,0,1,1,2,0,6,0,1,0,2,0,0,3,1,0.6666666666666666,200.66666666666666,602,181,0.30066445182724255,0.6666666666666666,0.3333333333333333,2,0.15384615384615385,v0,0,0
astropy__astropy-14539,Submitted,22,10,0.020209249999999998,10,0,1,2,3,0,3,0,1,0,0,0,0,3,1,0.6666666666666666,268.6666666666667,806,1,0.0012406947890818859,1.0,0.6,2,0.3,v0,0,0
astropy__astropy-14598,Submitted,52,25,0.09148495,22,3,5,1,10,1,2,0,0,0,0,1,6,6,3,0.5,217.16666666666666,1303,2,0.0015349194167306216,0.6,0.5454545454545454,3,0.4090909090909091,v0,0,0
astropy__astropy-14995,Submitted,28,13,0.032861749999999995,13,0,2,1,5,0,4,0,1,0,0,0,0,6,2,0.6666666666666666,283.6666666666667,1702,902,0.5299647473560517,0.6666666666666666,0.5,2,0.23076923076923078,v0,0,0
astropy__astropy-7166,Submitted,30,14,0.04080784999999999,14,0,1,1,4,0,6,1,1,0,0,0,0,4,2,0.5,200.5,802,221,0.27556109725685785,0.6666666666666666,0.2857142857142857,2,0.14285714285714285,v0,0,0
astropy__astropy-7336,Submitted,40,19,0.042864700000000006,17,2,1,1,6,0,5,0,1,0,1,1,5,4,3,0.25,265.0,1060,240,0.22641509433962265,0.5,0.25,1,0.23529411764705882,v0,0,0
astropy__astropy-7606,Submitted,22,10,0.0160497,10,0,1,1,4,0,3,0,1,0,0,0,0,3,1,0.6666666666666666,48.333333333333336,145,88,0.6068965517241379,1.0,0.4,2,0.2,v0,0,0
astropy__astropy-7671,Submitted,18,8,0.014902100000000001,8,0,1,1,1,0,3,1,1,0,0,0,0,1,1,0.0,240.0,240,0,0.0,1.0,0.5,2,0.25,v0,0,0
