instance_id,exit_status,total_messages,api_calls,instance_cost,total_steps,read_file_count,search_count,browse_count,edit_count,git_count,python_count,test_count,write_file_count,cd_count,other_count,unique_files,total_file_accesses
astropy__astropy-12907,Submitted,30,14,0.0383612,14,0,1,1,1,0,4,1,1,0,5,0,0
astropy__astropy-13033,Submitted,20,9,0.020097499999999997,9,0,1,1,0,0,2,0,1,0,4,0,0
astropy__astropy-13236,Submitted,24,11,0.01793635,11,0,1,1,1,0,5,0,1,0,2,0,0
astropy__astropy-13398,Submitted,36,17,0.038427249999999996,17,1,4,5,1,0,1,0,1,0,4,0,0
astropy__astropy-13453,Submitted,48,23,0.10338764999999998,23,0,6,1,0,0,4,0,1,0,11,0,0
astropy__astropy-13579,Submitted,24,11,0.029528649999999993,11,0,1,1,0,0,6,0,1,0,2,0,0
astropy__astropy-13977,Submitted,44,21,0.08128215,18,2,0,1,0,0,5,1,1,0,8,0,0
astropy__astropy-14096,Submitted,22,10,0.029743899999999997,10,1,1,1,0,0,3,0,0,0,4,0,0
astropy__astropy-14182,Submitted,18,8,0.0110286,8,0,1,1,0,1,2,0,1,0,2,0,0
astropy__astropy-14309,Submitted,20,9,0.0164472,8,0,1,1,0,0,2,0,1,0,3,0,0
astropy__astropy-14365,Submitted,20,9,0.0208056,9,0,2,1,1,0,1,0,1,0,3,0,0
astropy__astropy-14369,Submitted,34,16,0.04813234999999999,16,0,4,1,1,0,2,0,1,0,7,0,0
astropy__astropy-14508,Submitted,36,17,0.0351784,17,0,2,1,2,0,7,0,1,0,4,0,0
astropy__astropy-14539,Submitted,62,30,0.09573954999999999,30,0,2,2,2,0,9,0,1,0,14,0,0
astropy__astropy-14598,Submitted,100,49,0.18778550000000005,47,0,4,2,1,0,10,11,1,0,18,1,1
astropy__astropy-14995,Submitted,36,17,0.0685302,13,0,1,1,0,0,3,0,1,0,7,0,0
astropy__astropy-7166,Submitted,66,32,0.1285514,32,0,2,1,3,0,19,0,1,0,6,0,0
astropy__astropy-7336,Submitted,30,14,0.0408714,14,1,1,1,0,0,4,1,1,0,5,1,1
astropy__astropy-7606,Submitted,18,8,0.012049049999999999,8,0,0,1,0,0,1,0,1,0,5,0,0
astropy__astropy-7671,Submitted,18,8,0.020521299999999996,8,0,2,1,0,0,3,0,1,0,1,0,0
